folder;name;size
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1860_v3.2.tif;677KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1870_v3.2.tif;694KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1880_v3.2.tif;726KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1890_v3.2.tif;755KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1900_v3.2.tif;780KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1910_v3.2.tif;815KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1920_v3.2.tif;840KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1930_v3.2.tif;868KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1940_v3.2.tif;890KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1950_v3.2.tif;908KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1960_v3.2.tif;948KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1970_v3.2.tif;967KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1980_v3.2.tif;973KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_1990_v3.2.tif;981KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2000_v3.2.tif;979KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2001_v3.2.tif;979KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2002_v3.2.tif;978KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2003_v3.2.tif;979KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2004_v3.2.tif;980KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2005_v3.2.tif;976KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2006_v3.2.tif;976KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2007_v3.2.tif;975KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2008_v3.2.tif;976KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2009_v3.2.tif;977KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_200_v3.2.tif;320KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2010_v3.2.tif;976KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2011_v3.2.tif;978KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2012_v3.2.tif;981KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2013_v3.2.tif;981KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2014_v3.2.tif;983KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2015_v3.2.tif;984KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_2016_v3.2.tif;985KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_300_v3.2.tif;319KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_400_v3.2.tif;325KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_500_v3.2.tif;330KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_600_v3.2.tif;336KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_700_v3.2.tif;341KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_800_v3.2.tif;348KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_900_v3.2.tif;359KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC10000_v3.2.tif;109KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC1000_v3.2.tif;275KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC2000_v3.2.tif;242KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC3000_v3.2.tif;215KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC4000_v3.2.tif;179KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC5000_v3.2.tif;146KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC6000_v3.2.tif;127KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC7000_v3.2.tif;117KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC8000_v3.2.tif;109KiB
layers10km;lcv_landuse.cropland_hyde_p_10km_s0..0cm_BC9000_v3.2.tif;109KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_0_v3.2.tif;299KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1000_v3.2.tif;368KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_100_v3.2.tif;294KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1100_v3.2.tif;400KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1200_v3.2.tif;420KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1300_v3.2.tif;422KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1400_v3.2.tif;418KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1500_v3.2.tif;433KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1600_v3.2.tif;481KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1700_v3.2.tif;510KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1710_v3.2.tif;516KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1720_v3.2.tif;525KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1730_v3.2.tif;532KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1740_v3.2.tif;539KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1750_v3.2.tif;548KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1760_v3.2.tif;556KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1770_v3.2.tif;562KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1780_v3.2.tif;572KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1790_v3.2.tif;579KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1800_v3.2.tif;584KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1810_v3.2.tif;595KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1820_v3.2.tif;606KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1830_v3.2.tif;621KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1840_v3.2.tif;638KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1850_v3.2.tif;656KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1860_v3.2.tif;678KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1870_v3.2.tif;686KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1880_v3.2.tif;711KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1890_v3.2.tif;728KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1900_v3.2.tif;750KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1910_v3.2.tif;772KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1920_v3.2.tif;785KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1930_v3.2.tif;804KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1940_v3.2.tif;829KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1950_v3.2.tif;832KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1960_v3.2.tif;840KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1970_v3.2.tif;847KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1980_v3.2.tif;855KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_1990_v3.2.tif;860KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2000_v3.2.tif;860KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2001_v3.2.tif;860KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2002_v3.2.tif;860KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2003_v3.2.tif;861KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2004_v3.2.tif;861KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2005_v3.2.tif;860KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2006_v3.2.tif;860KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2007_v3.2.tif;860KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2008_v3.2.tif;860KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2009_v3.2.tif;859KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_200_v3.2.tif;301KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2010_v3.2.tif;859KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2011_v3.2.tif;859KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2012_v3.2.tif;859KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2013_v3.2.tif;858KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2014_v3.2.tif;858KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2015_v3.2.tif;858KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_2016_v3.2.tif;858KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_300_v3.2.tif;299KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_400_v3.2.tif;308KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_500_v3.2.tif;314KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_600_v3.2.tif;321KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_700_v3.2.tif;334KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_800_v3.2.tif;345KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_900_v3.2.tif;360KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC10000_v3.2.tif;109KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC1000_v3.2.tif;254KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC2000_v3.2.tif;232KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC3000_v3.2.tif;200KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC4000_v3.2.tif;177KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC5000_v3.2.tif;154KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC6000_v3.2.tif;126KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC7000_v3.2.tif;109KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC8000_v3.2.tif;109KiB
layers10km;lcv_landuse.pasture_hyde_p_10km_s0..0cm_BC9000_v3.2.tif;109KiB
layers1km;clm_lst_mod11a2.apr.day_m_1km_s0..0cm_2000..2017_v1.0.tif;302MiB
layers1km;clm_lst_mod11a2.apr.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;239MiB
layers1km;clm_lst_mod11a2.apr.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;306MiB
layers1km;clm_lst_mod11a2.aug.day_m_1km_s0..0cm_2000..2017_v1.0.tif;304MiB
layers1km;clm_lst_mod11a2.aug.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;233MiB
layers1km;clm_lst_mod11a2.aug.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;310MiB
layers1km;clm_lst_mod11a2.dec.day_m_1km_s0..0cm_2000..2017_v1.0.tif;303MiB
layers1km;clm_lst_mod11a2.dec.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;242MiB
layers1km;clm_lst_mod11a2.dec.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;297MiB
layers1km;clm_lst_mod11a2.feb.day_m_1km_s0..0cm_2000..2017_v1.0.tif;302MiB
layers1km;clm_lst_mod11a2.feb.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;240MiB
layers1km;clm_lst_mod11a2.feb.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;302MiB
layers1km;clm_lst_mod11a2.jan.day_m_1km_s0..0cm_2000..2017_v1.0.tif;303MiB
layers1km;clm_lst_mod11a2.jan.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;242MiB
layers1km;clm_lst_mod11a2.jan.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;297MiB
layers1km;clm_lst_mod11a2.jul.day_m_1km_s0..0cm_2000..2017_v1.0.tif;305MiB
layers1km;clm_lst_mod11a2.jul.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;233MiB
layers1km;clm_lst_mod11a2.jul.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;310MiB
layers1km;clm_lst_mod11a2.jun.day_m_1km_s0..0cm_2000..2017_v1.0.tif;307MiB
layers1km;clm_lst_mod11a2.jun.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;238MiB
layers1km;clm_lst_mod11a2.jun.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;311MiB
layers1km;clm_lst_mod11a2.mar.day_m_1km_s0..0cm_2000..2017_v1.0.tif;301MiB
layers1km;clm_lst_mod11a2.mar.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;237MiB
layers1km;clm_lst_mod11a2.mar.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;305MiB
layers1km;clm_lst_mod11a2.may.day_m_1km_s0..0cm_2000..2017_v1.0.tif;307MiB
layers1km;clm_lst_mod11a2.may.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;241MiB
layers1km;clm_lst_mod11a2.may.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;309MiB
layers1km;clm_lst_mod11a2.nov.day_m_1km_s0..0cm_2000..2017_v1.0.tif;302MiB
layers1km;clm_lst_mod11a2.nov.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;239MiB
layers1km;clm_lst_mod11a2.nov.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;300MiB
layers1km;clm_lst_mod11a2.oct.day_m_1km_s0..0cm_2000..2017_v1.0.tif;302MiB
layers1km;clm_lst_mod11a2.oct.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;240MiB
layers1km;clm_lst_mod11a2.oct.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;306MiB
layers1km;clm_lst_mod11a2.sep.day_m_1km_s0..0cm_2000..2017_v1.0.tif;302MiB
layers1km;clm_lst_mod11a2.sep.day_sd_1km_s0..0cm_2000..2017_v1.0.tif;235MiB
layers1km;clm_lst_mod11a2.sep.daynight_m_1km_s0..0cm_2000..2017_v1.0.tif;308MiB
layers1km;clm_precipitation_imerge.apr_m_1km_s0..0cm_2014..2018_v0.1.tif;195MiB
layers1km;clm_precipitation_imerge.aug_m_1km_s0..0cm_2014..2018_v0.1.tif;204MiB
layers1km;clm_precipitation_imerge.dec_m_1km_s0..0cm_2014..2018_v0.1.tif;198MiB
layers1km;clm_precipitation_imerge.feb_m_1km_s0..0cm_2014..2018_v0.1.tif;176MiB
layers1km;clm_precipitation_imerge.jan_m_1km_s0..0cm_2014..2018_v0.1.tif;199MiB
layers1km;clm_precipitation_imerge.jul_m_1km_s0..0cm_2014..2018_v0.1.tif;203MiB
layers1km;clm_precipitation_imerge.jun_m_1km_s0..0cm_2014..2018_v0.1.tif;198MiB
layers1km;clm_precipitation_imerge.mar_m_1km_s0..0cm_2014..2018_v0.1.tif;201MiB
layers1km;clm_precipitation_imerge.may_m_1km_s0..0cm_2014..2018_v0.1.tif;201MiB
layers1km;clm_precipitation_imerge.nov_m_1km_s0..0cm_2014..2018_v0.1.tif;196MiB
layers1km;clm_precipitation_imerge.oct_m_1km_s0..0cm_2014..2018_v0.1.tif;208MiB
layers1km;clm_precipitation_imerge.sep_m_1km_s0..0cm_2014..2018_v0.1.tif;194MiB
layers1km;clm_precipitation_sm2rain.apr_m_1km_s0..0cm_2007..2018_v0.2.tif;184MiB
layers1km;clm_precipitation_sm2rain.aug_m_1km_s0..0cm_2007..2018_v0.2.tif;205MiB
layers1km;clm_precipitation_sm2rain.dec_m_1km_s0..0cm_2007..2018_v0.2.tif;186MiB
layers1km;clm_precipitation_sm2rain.feb_m_1km_s0..0cm_2007..2018_v0.2.tif;168MiB
layers1km;clm_precipitation_sm2rain.jan_m_1km_s0..0cm_2007..2018_v0.2.tif;182MiB
layers1km;clm_precipitation_sm2rain.jul_m_1km_s0..0cm_2007..2018_v0.2.tif;204MiB
layers1km;clm_precipitation_sm2rain.jun_m_1km_s0..0cm_2007..2018_v0.2.tif;189MiB
layers1km;clm_precipitation_sm2rain.mar_m_1km_s0..0cm_2007..2018_v0.2.tif;187MiB
layers1km;clm_precipitation_sm2rain.may_m_1km_s0..0cm_2007..2018_v0.2.tif;188MiB
layers1km;clm_precipitation_sm2rain.nov_m_1km_s0..0cm_2007..2018_v0.2.tif;188MiB
layers1km;clm_precipitation_sm2rain.oct_m_1km_s0..0cm_2007..2018_v0.2.tif;202MiB
layers1km;clm_precipitation_sm2rain.sep_m_1km_s0..0cm_2007..2018_v0.2.tif;198MiB
layers1km;dtm_earthquakes.dens_earthquake.usgs_m_1km_s0..0cm_1910..2017_v1.0.tif;63MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1960_v1.0.tif;405MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1961_v1.0.tif;403MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1962_v1.0.tif;405MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1963_v1.0.tif;403MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1964_v1.0.tif;400MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1965_v1.0.tif;403MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1966_v1.0.tif;403MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1967_v1.0.tif;408MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1968_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1969_v1.0.tif;405MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1970_v1.0.tif;401MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1971_v1.0.tif;403MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1972_v1.0.tif;398MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1973_v1.0.tif;406MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1974_v1.0.tif;408MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1975_v1.0.tif;405MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1976_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1977_v1.0.tif;406MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1978_v1.0.tif;403MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1979_v1.0.tif;399MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1980_v1.0.tif;402MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1981_v1.0.tif;406MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1982_v1.0.tif;402MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1983_v1.0.tif;399MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1984_v1.0.tif;399MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1985_v1.0.tif;402MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1986_v1.0.tif;398MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1987_v1.0.tif;398MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1988_v1.0.tif;408MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1989_v1.0.tif;401MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1990_v1.0.tif;403MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1991_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1992_v1.0.tif;399MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1993_v1.0.tif;402MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1994_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1995_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1996_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1997_v1.0.tif;407MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1998_v1.0.tif;407MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_1999_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2000_v1.0.tif;405MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2001_v1.0.tif;402MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2002_v1.0.tif;400MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2003_v1.0.tif;406MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2004_v1.0.tif;401MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2005_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2006_v1.0.tif;406MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2007_v1.0.tif;406MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2008_v1.0.tif;405MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2009_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2010_v1.0.tif;410MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2011_v1.0.tif;407MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2012_v1.0.tif;404MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2013_v1.0.tif;403MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2014_v1.0.tif;407MiB
layers1km;hyd_ann.streamflow_flo1k.max_m_1km_s0..0cm_2015_v1.0.tif;405MiB
layers1km;hyd_ann.streamflow_flo1k.mean_m_1km_s0..0cm_1960_v1.0.tif;294MiB
layers1km;hyd_ann.streamflow_flo1k.mean_m_1km_s0..0cm_1961_v1.0.tif;294MiB
layers1km;hyd_ann.streamflow_flo1k.mean_m_1km_s0..0cm_1962_v1.0.tif;293MiB
layers1km;hyd_ann.streamflow_flo1k.mean_m_1km_s0..0cm_1963_v1.0.tif;293MiB
layers1km;hyd_ann.streamflow_flo1k.mean_m_1km_s0..0cm_1964_v1.0.tif;290MiB
